Price,ret_1,ret_3,ret_5,ma_dist_10,ma_dist_20,mfi_14,atr_14,rolling_vol_20,vol_change_5
2021-03-15,0.010843274437101749,0.0016489710090339844,-0.01206003042786645,-0.02117186454851546,0.011668353446352791,0.21951668368113617,0.043321500468002885,0.026409300776525448,1.090625944438474
2021-03-16,0.0002995984806064709,-0.019132974272922564,-0.008053724171715857,-0.01794118660007984,0.005495726349509735,0.09498376757687196,0.04082703035878051,0.02642920061055234,0.9899333566626167
2021-03-17,-0.022717893393722724,-0.011575020476014563,-0.020769323904082097,-0.034647961034751186,-0.02058451828925139,-0.016331199172807374,0.04163384415507851,0.026140159379666676,0.8576771626324541
2021-03-18,0.016408827897018936,-0.006009467016097303,-0.025442039769626463,-0.010615380805938214,-0.008531099346442653,-0.08170043959958548,0.03929862971257981,0.026292710542509014,1.5387904895970392
2021-03-19,0.009896508542365129,0.0035874430456613532,0.014730315963369574,0.0035187289559937334,-0.002426241812114062,-0.06321385536204957,0.03958306622550507,0.026087567650826236,1.06209334773587
2021-03-22,0.013780993668880522,0.04008633010826442,0.017668035195148302,0.016865363204958177,0.006659117407959802,-0.09652599434567848,0.03886260913584706,0.02606376591753339,0.5778440226017642
2021-03-23,-0.023978997139373733,-0.0003014949281279832,-0.006610560424831907,-0.005769932459484253,-0.019458572463686694,-0.23034352680888873,0.04015031158388525,0.026331352404320083,0.9394326712456635
2021-03-24,-0.04296602565251349,-0.0531640291230067,-0.026858692683622655,-0.043137820432427754,-0.058567311296373284,-0.4370587913351741,0.04165449703355698,0.025439919718108182,1.2247361222332984
2021-03-25,-0.011871958073851278,-0.07881698086573838,-0.05513947865449274,-0.046867418474074454,-0.06707965898642046,-0.45131519751919086,0.042641045822793607,0.025524494790777168,1.2978573378362919
2021-03-26,0.04102575754403262,-0.013812226182332084,-0.024010229652825326,-0.0060309887253415405,-0.024597537790175383,-0.31426252415985517,0.04053404940362589,0.024327160710801113,0.8945790459133202
