Price,ret_1,ret_3,ret_5,ma_dist_10,ma_dist_20,mfi_14,atr_14,rolling_vol_20,vol_change_5
2021-03-15,0.0073202407088432155,-0.009591809172041596,0.000651432500130143,-0.016498444284142367,-0.03152771463970855,0.036930741485792284,0.03281174101966909,0.022727926457624073,1.2719728045327128
2021-03-16,-0.014033995400144276,-0.02388372164879693,-0.028772483095292,-0.026112742262780944,-0.04159104796996462,0.02253283705581339,0.033473589174685243,0.021260363791729048,1.1436962404601934
2021-03-17,-0.027857612487279776,-0.034571367178580795,-0.051483417059465596,-0.04647817017263717,-0.06386872675748596,-0.10363753225353264,0.03408936241616096,0.021887258630379474,0.9630364469204584
2021-03-18,-0.002856141167738288,-0.044747749055162295,-0.054597475303814896,-0.03975930155988786,-0.06120931257427979,-0.2599229479181936,0.03520838282789116,0.020916658148694305,1.0435463127605045
2021-03-19,0.010971905538504339,-0.01974184811651373,-0.026455602807814702,-0.022903819456779554,-0.04547592672003651,-0.24904927257731174,0.033938901466662535,0.021017792403914964,1.4105667820477226
2021-03-22,-0.011244297710666299,-0.003128533339900226,-0.045020141227324194,-0.029575381805354163,-0.052181575740064864,-0.2562784707165595,0.03466326994554986,0.019616452797860767,0.7132766456898852
2021-03-23,0.015411975453359926,0.015139583281198013,-0.015574170373820076,-0.010079716914870453,-0.03536801030716654,-0.23763105930965991,0.034506858263938046,0.019417455374879163,1.0138881975043033
2021-03-24,-0.035086508815379606,-0.030918831072685993,-0.022803066701919898,-0.03711324333040944,-0.06429772137422009,-0.39981687365945845,0.03561005892689549,0.020263957957134864,1.0003189135621566
2021-03-25,-0.01300641079364241,-0.032680944155662126,-0.032953336327824004,-0.04121794979325165,-0.07021793725437624,-0.408068707359476,0.037091772726449555,0.0189351936901888,1.2519734504035038
2021-03-26,0.005614823599406429,-0.042478096009615544,-0.038310418266921976,-0.029558837382850905,-0.058817357470735285,-0.22693773187014402,0.0348644199912799,0.019028591022359934,0.9693708058885554
2021-03-30,0.010027840538379088,0.0026362533441429267,-0.0170382800178767,-0.01358790740142439,-0.045641626193645646,-0.23328413280456572,0.034170100100696696,0.017311530729416456,0.891638251165584
2021-03-31,0.009653960489722307,0.025296624627507716,-0.022796294981514142,-0.00012359999584607678,-0.03246161458206325,-0.10887285962263846,0.03330261583123455,0.017194412162286895,0.8841027036314852
2021-04-01,0.017280704319845203,0.03696250534794672,0.029570918153710598,0.016607556966643462,-0.012508387635937188,-0.09332880564208736,0.033021134852753244,0.01784269349023569,0.7658641387034785
2021-04-05,-0.04723344986595965,-0.02029878505639198,-0.004656120918606618,-0.02667662760126861,-0.05155998297831376,-0.1141525428402086,0.03581025869196745,0.018928901295198503,1.2782450473630922
2021-04-06,-0.008521593975654534,-0.038474339521768985,-0.018792538493667608,-0.029431382449462414,-0.053884520164049224,-0.11136716891293119,0.034293061820698495,0.01852633628675808,1.0724246194791411
2021-04-07,0.022564899428575532,-0.03319014441303873,-0.006255479603471174,-0.004953667973974257,-0.02900389684018584,-0.09814222896666962,0.034294887287011355,0.018617079211412955,1.1196934834670143
2021-04-08,-0.008261620476076578,0.005781684976844299,-0.02417106056927008,-0.00843493739967246,-0.0325388548557908,0.014066133687314561,0.03365539942928505,0.018106003550984132,0.7976865205133358
2021-04-09,-0.007338492973285483,0.0069647859792133235,-0.048790257862400786,-0.013801172508534864,-0.035070928959983996,0.004452783308317407,0.03378187817848902,0.018116335413535876,1.0384648770518374
2021-04-12,-0.07086641700374878,-0.08646653045311083,-0.0724232250001899,-0.07445720394706735,-0.09379635273905115,-0.008799688715292433,0.039477422898092085,0.023328123548532732,1.5251861732320158
2021-04-13,0.036280831034501346,-0.04192407894253282,-0.027620799990034032,-0.03586522899693719,-0.05509410751144053,0.01942077078610936,0.03892964588987347,0.02523409190591998,0.9831113231870453
2021-04-15,0.004973001577930449,-0.029612584391316924,-0.04521269784067897,-0.0260745509796141,-0.04493163997187035,0.03154353999614628,0.03884073841966488,0.025176431524410393,1.0265427270161178
2021-04-16,-0.008204008976258365,0.03304982363617338,-0.0451550863408607,-0.02728690257222618,-0.04760569847464348,0.04265312502828422,0.03764764877569096,0.02510822944771211,0.7193474398989606
2021-04-19,-0.02608018071241411,-0.029311188110742008,-0.06389677407998942,-0.041492528809092176,-0.06728833719404952,0.05586520438130663,0.03927874720959394,0.02502751555405813,0.9895421336426976
2021-04-20,-0.0049949208068008405,-0.03927911049547335,0.0019747221169584216,-0.039582581377151524,-0.06699511404601867,0.052226761213761394,0.04072190310868631,0.02502111040836139,0.8781443360491604
2021-04-22,0.02146742334654239,-0.00960767817267264,-0.012838685571000525,-0.014750230479157082,-0.042070390621579315,0.061143842123238985,0.04120433538108276,0.025488320895178003,1.0471867547557605
2021-04-23,-0.0005941557110355276,0.01587834682870593,-0.018405842859966465,-0.00892532763250181,-0.03846008065631328,0.06451827195918909,0.04087852981387378,0.02545955351583084,0.9797188789629498
2021-04-26,0.023063695299063748,0.04393696293457055,0.012861861415355577,0.017585312735980095,-0.01201624323195512,0.0853771090133742,0.04040292027298095,0.02582692282468027,1.0379888781529163
2021-04-27,0.025096385694312256,0.047565925282340604,0.06403842782208212,0.04343075435438288,0.014081716216202637,0.23701265970398921,0.03757058069454325,0.02551392649545456,1.0006577239035086
2021-04-28,0.028894535370124923,0.07705461636350087,0.09792788399900787,0.06316383999187829,0.04258275246359475,0.3857542773159148,0.037198306381026496,0.026183691947878698,1.155820802851014
2021-04-29,-0.011068243958347719,0.042922677106089456,0.06539221669411772,0.045831538256587034,0.030781514410716415,0.40087124473757285,0.03738375880688341,0.026299157980011777,1.2255656968879285
2021-04-30,-0.016552590565232093,0.0012737008465451374,0.049433781839921115,0.02544013084308898,0.01492230561110008,0.26366850699791683,0.038623990054848525,0.02645322992726535,0.9989021414378308
2021-05-03,-0.00823740253035097,-0.03585823705393097,0.018132684010506245,0.01388089678823201,0.008579869721617108,0.27056352284057483,0.038698983667900755,0.02637560129444466,0.8277578915521077
