Date,ret_1,ret_3,ret_5,ma_dist_10,ma_dist_20,mfi_14,atr_14,rolling_vol_20,vol_change_5
2021-12-07,0.004480978105272605,0.039518905300360986,0.07582913261255499,0.056027745148227094,0.04631221910412403,0.3081954165866088,0.0357675342319414,0.022752420579958823,0.670402154409931
2021-12-08,0.004460921657668595,0.03472040147055598,0.06592423661624677,0.05263156784111913,0.04919052410891133,0.2574461115674323,0.034230628792975386,0.022377592270540873,0.669749389259463
2021-12-09,-0.024025169025363478,-0.015083269262422181,0.01995465793266628,0.021897805623964563,0.02324857845984334,0.3058784726704772,0.035062983708701506,0.022953295577592556,0.7175119529476961
2021-12-10,-0.02461668670061492,-0.04418093406830979,-0.013921454255422336,-0.007421202728900057,-0.0017105184596168342,0.2521017105189024,0.03460171525224669,0.023616780016793557,1.2234664418145287
2021-12-13,-0.007818627413206245,-0.05646048313918469,-0.047518583376243435,-0.019849238717791397,-0.008791752098967683,0.25319982782888034,0.034536911578985724,0.023606792034472867,0.69370257974986
2021-12-14,-0.006299230858964293,-0.03873454497278546,-0.05829879234048026,-0.027649798948371274,-0.01478602251582313,0.16977346506287078,0.03362673646343444,0.023388418192310693,0.38409525379133885
2021-12-15,-0.022365103826539053,-0.03648296209870963,-0.08512481782468803,-0.04739918582326014,-0.03213195790730931,0.1266507385333088,0.03634896521945411,0.0183400441662528,1.1547735800413799
2021-12-16,-0.0016168691493556766,-0.030281203834859098,-0.06271651794868024,-0.04496990317760302,-0.030284048583570422,0.11090966392440621,0.036407784124413235,0.017859552306546345,0.9309243987603029
2021-12-17,0.01605173848652986,-0.00793023448936497,-0.022048092761535538,-0.02605459325720741,-0.012733853702697693,0.22922541178455347,0.03503186643423467,0.018085674233308147,1.0669382957275815
2021-12-20,-0.06581318929722586,-0.05137831996005183,-0.08004265464555516,-0.07663313983993968,-0.07277455983633029,0.11937954502029058,0.04020895726096216,0.021620628545797035,1.1636550194726403
2021-12-21,0.05137831996005176,0.0016168691493555747,-0.022365103826539053,-0.01994930865970747,-0.02288869464263053,0.11844757721008606,0.04108009431590555,0.02475440492681732,0.8514652694701207
2021-12-22,0.001614113817780903,-0.012820755519393287,0.001614113817780903,-0.009901047068039032,-0.0209238740506666,0.10261116917264801,0.04089863037346681,0.024644587406021493,0.7300505278840754
2021-12-23,-0.003230982967136472,0.04976145081069605,0.0,-0.006750256366910346,-0.023773825040649666,0.015167998398293463,0.03895053430257924,0.024632232570817265,0.4129894421749213
2021-12-24,-0.017959529287228295,-0.01957639843658394,-0.03401126777375804,-0.01891051442981642,-0.04069527864946891,-0.24504881775954146,0.038950336096143554,0.024746660405486096,0.7002207602276004
2021-12-27,-0.009934038501741665,-0.031124550756106442,0.02186788302172606,-0.022923170870533176,-0.04980244434714872,-0.38888924361782584,0.03767530279211291,0.024712804231515284,1.121469501177319
2021-12-28,0.02789356778896997,0.0,-0.0016168691493556766,0.007170770233530438,-0.02261587807877764,-0.425075730525499,0.03652335243483691,0.024819352220834482,1.3293654903239263
2021-12-29,-0.008123426411892823,0.009836102875335484,-0.011354409379029349,6.612494129648344e-08,-0.029141531071936854,-0.28374413323145803,0.036005594359202385,0.024627563130506354,1.1994866618898243
2021-12-30,0.019386632216709193,0.039156773593786276,0.011263205804816365,0.018412888215947158,-0.008566011120048754,0.3755305360578632,0.036000002322586995,0.024506041466938452,3.7757157906636434
2021-12-31,-0.009646336655460644,0.0016168691493555747,0.019576398436584003,0.010117514809012023,-0.015585220651411828,0.3972404411854825,0.03507962426833116,0.02443064097568659,0.24869303216204403
2022-01-03,0.008045073996758592,0.017785369558007094,0.03755551093508431,0.012329658058928971,-0.004149375803879986,0.4413443044953968,0.03479853827574665,0.023659149989411193,0.17124907392778949
2022-01-04,0.004796188149334199,0.0031949254906321048,0.014458131295448547,0.015878178133829444,0.004164017289665554,0.5726729002531763,0.03292322008549992,0.02366478535004006,0.3824363875251712
2022-01-05,0.00477322299762974,0.01761448514372275,0.027354780704971167,0.01908763283341332,0.012536127697578642,0.678985581772219,0.03208616993830135,0.023670341554355673,0.2617387148960531
2022-01-06,0.017309788878850495,0.026879200025814627,0.02527793736711241,0.0330379721954717,0.0316248040776558,0.6973699739708593,0.030755520832507762,0.02357681856548921,2.2879525836154406
2022-01-07,-0.02687920002581455,-0.0047961881493342115,0.008045073996758592,0.0028929555766591206,0.005721652059047083,0.6936803713290038,0.029418511243501214,0.02369964808520834,1.1415638221206466
2022-01-10,0.011155507211682618,0.0015860960647186388,0.011155507211682618,0.009277030808412415,0.017495776761890482,0.6903553928620613,0.026375386013907886,0.023809623239029628,0.6615859299598442
2022-01-11,-0.015974737161305364,-0.03169842997543721,-0.009615418098956873,-0.007194210726228843,0.0023404573075359167,0.6282204804926073,0.026455041664781215,0.02403149195174956,0.5601063401071001
2022-01-12,0.014388641096586703,0.009569411146963915,0.0,0.004464233460616238,0.015965121790954107,0.6399546699093207,0.02709751203989331,0.02371139708801926,0.8745760916277602
2022-01-13,0.00632913257093681,0.004743036506218134,-0.010980656307913762,0.00939335613220202,0.021098358237450137,0.6979508305164879,0.026813883625910924,0.023733905259654485,1.0523052125370391
2022-01-14,-0.01589854371790078,0.004819229949622564,0.0,-0.0073178567114546116,0.005316573918722214,0.6808278935818146,0.027586997888523538,0.02376241808616525,1.1211589013348304
2022-01-17,0.007980938590971797,-0.0015884725559922907,-0.003174568620710942,-0.00015891958394131868,0.010036175389164008,0.6861091172275848,0.02555075999234747,0.018115988169754408,1.289204453167249
2022-01-18,-0.004781045163456627,-0.012698650290385782,0.008019123377137631,-0.004769584276583628,0.0046540399869356925,0.6182176117289732,0.024303972705007507,0.014215563910536598,0.7374394135877317
2022-01-19,-0.006410203869809255,-0.0032103104422942725,-0.012779721589258273,-0.009869503473225036,-0.0019255808711082108,0.2872263546429031,0.022163532213828458,0.01429731677847015,0.4686527914901968
2022-01-20,-0.014575059115712913,-0.025766308148978945,-0.03368391327590795,-0.019827244413108142,-0.015972332731180962,0.27432870926696723,0.022605458334435575,0.014659403839946282,0.9283125859062337
2022-01-21,-0.006546664968928379,-0.02753192795445054,-0.024332034526935577,-0.023881969653134792,-0.022550295767971518,0.19276920772916284,0.023105798234217136,0.014153550625109207,0.8252408295481017
2022-01-24,-0.0215777219997955,-0.04269944608443675,-0.05389069511770271,-0.03932951335218912,-0.04303152788219363,0.07529594023845064,0.024328874083006446,0.014814824057992431,1.0415467970517434
2022-01-25,0.0033501232791589234,-0.024774263689564875,-0.045759526675087064,-0.03251901622306055,-0.03827599604632396,-0.029536226811940056,0.02544196349242888,0.013283646847422179,1.1764562002887806
2022-01-27,0.001670824675933868,-0.016556774044702783,-0.03767849812934403,-0.026016285823999546,-0.03558206903489567,-0.17556909685547667,0.02671118895703839,0.01321258620883009,0.962059178357419
2022-01-28,-0.0067001899160770125,-0.0016792419609843307,-0.029803628929708094,-0.026345957453915183,-0.039703067926623856,-0.19160440448610644,0.02581032586691941,0.012336577285978135,1.8152039983998347
