Date,Ticker,Score,Actual_Return,Is_Top_Basket,Day_IC,Day_TBPR
2025-08-18,AARTIIND,-0.134389,0.093938,False,-0.0004,0.4375
2025-08-18,ABFRL,-0.193999,1.423834,False,-0.0004,0.4375
2025-08-18,ACC,-0.067564,-1.277137,False,-0.0004,0.4375
2025-08-18,ADANIENSOL,0.008962,-1.298042,False,-0.0004,0.4375
2025-08-18,ADANIPORTS,-0.01277,0.0573,False,-0.0004,0.4375
2025-08-18,ADANIPOWER,-0.075303,0.091954,False,-0.0004,0.4375
2025-08-18,ALKALI,-0.108195,0.091522,False,-0.0004,0.4375
2025-08-18,AMBUJACEM,0.146767,-1.04668,True,-0.0004,0.4375
2025-08-18,APLAPOLLO,-0.008053,0.624598,False,-0.0004,0.4375
2025-08-18,APOLLOHOSP,-0.083218,-0.122539,False,-0.0004,0.4375
2025-08-18,APOLLOPIPE,-0.044342,0.352801,False,-0.0004,0.4375
2025-08-18,ASHOKLEY,0.018724,-0.52929,False,-0.0004,0.4375
2025-08-18,ASIANPAINT,-0.021613,-1.490821,False,-0.0004,0.4375
2025-08-18,ASTRAZEN,0.066587,-0.421037,True,-0.0004,0.4375
2025-08-18,AXISBANK,-0.122927,-0.794857,False,-0.0004,0.4375
2025-08-18,BAJAJ-AUTO,-0.088523,0.438497,False,-0.0004,0.4375
2025-08-18,BALKRISIND,-0.278498,-1.117729,False,-0.0004,0.4375
2025-08-18,BANDHANBNK,-0.054126,0.520584,False,-0.0004,0.4375
2025-08-18,BANKBARODA,-0.031134,-0.746587,False,-0.0004,0.4375
2025-08-18,BEL,-0.084171,-1.332896,False,-0.0004,0.4375
2025-08-18,BEML,-0.070512,-0.823966,False,-0.0004,0.4375
2025-08-18,BHEL,0.030754,-0.353822,False,-0.0004,0.4375
2025-08-18,BOSCHLTD,0.091055,-0.337497,True,-0.0004,0.4375
2025-08-18,BRITANNIA,0.028094,0.567869,False,-0.0004,0.4375
2025-08-18,CANBK,-0.060302,-0.493006,False,-0.0004,0.4375
2025-08-18,CESC,0.000592,-0.424878,False,-0.0004,0.4375
2025-08-18,CIPLA,-0.027546,0.502293,False,-0.0004,0.4375
2025-08-18,COALINDIA,-0.122296,-0.807304,False,-0.0004,0.4375
2025-08-18,COCHINSHIP,-0.03639,-0.632928,False,-0.0004,0.4375
2025-08-18,COFORGE,0.073766,1.781039,True,-0.0004,0.4375
2025-08-18,COLPAL,-0.060195,0.647347,False,-0.0004,0.4375
2025-08-18,CONCOR,0.013634,0.137327,False,-0.0004,0.4375
2025-08-18,COROMANDEL,0.024123,-0.322187,False,-0.0004,0.4375
2025-08-18,CSBBANK,-0.002549,0.09115,False,-0.0004,0.4375
2025-08-18,DABUR,0.022533,-0.347985,False,-0.0004,0.4375
2025-08-18,DALBHARAT,0.010161,-0.084655,False,-0.0004,0.4375
2025-08-18,DBL,-0.088142,-1.11732,False,-0.0004,0.4375
2025-08-18,DEEPAKFERT,-0.00825,0.297855,False,-0.0004,0.4375
2025-08-18,DEEPAKNTR,-0.158371,0.082323,False,-0.0004,0.4375
2025-08-18,DELHIVERY,0.049782,0.424376,True,-0.0004,0.4375
2025-08-18,DEVYANI,0.024713,2.469212,False,-0.0004,0.4375
2025-08-18,DIVISLAB,0.005869,0.199495,False,-0.0004,0.4375
2025-08-18,DMART,-0.014381,0.723222,False,-0.0004,0.4375
2025-08-18,DRREDDY,-0.155361,0.236379,False,-0.0004,0.4375
2025-08-18,ENDURANCE,-0.221561,0.06003,False,-0.0004,0.4375
2025-08-18,EQUITASBNK,0.059862,-1.205722,True,-0.0004,0.4375
2025-08-18,ESCORTS,-0.012953,-0.796918,False,-0.0004,0.4375
2025-08-18,EXIDEIND,0.005778,3.024562,False,-0.0004,0.4375
2025-08-18,FEDERALBNK,-0.15552,-0.340664,False,-0.0004,0.4375
2025-08-18,FINCABLES,0.082278,0.329076,True,-0.0004,0.4375
2025-08-18,GENUSPOWER,0.168854,0.383242,True,-0.0004,0.4375
2025-08-18,GNFC,-0.084126,1.477357,False,-0.0004,0.4375
2025-08-18,GODREJCP,0.048417,0.924062,False,-0.0004,0.4375
2025-08-18,GRASIM,0.003171,-0.919558,False,-0.0004,0.4375
2025-08-18,GRSE,-0.016192,-1.002283,False,-0.0004,0.4375
2025-08-18,GUJALKALI,-0.000448,1.322195,False,-0.0004,0.4375
2025-08-18,HAL,-0.087862,-0.8041,False,-0.0004,0.4375
2025-08-18,HCC,0.008175,-0.124096,False,-0.0004,0.4375
2025-08-18,HCLTECH,0.006757,0.132062,False,-0.0004,0.4375
2025-08-18,HDFCAMC,-0.011054,0.718394,False,-0.0004,0.4375
2025-08-18,HDFCLIFE,-0.056735,-0.50202,False,-0.0004,0.4375
2025-08-18,HEROMOTOCO,-0.067237,0.173996,False,-0.0004,0.4375
2025-08-18,HFCL,0.001674,0.313362,False,-0.0004,0.4375
2025-08-18,HINDALCO,0.007364,-0.285472,False,-0.0004,0.4375
2025-08-18,HINDCOPPER,-0.034188,-0.809209,False,-0.0004,0.4375
2025-08-18,HINDUNILVR,0.137435,0.542976,True,-0.0004,0.4375
2025-08-18,ICICIBANK,-0.04995,-0.470787,False,-0.0004,0.4375
2025-08-18,ICICIGI,-0.062642,-1.100582,False,-0.0004,0.4375
2025-08-18,IDFCFIRSTB,0.010995,-0.122348,False,-0.0004,0.4375
2025-08-18,INDIAMART,-0.05051,0.577905,False,-0.0004,0.4375
2025-08-18,INDIANB,0.088614,-0.731737,True,-0.0004,0.4375
2025-08-18,INDUSINDBK,0.112197,-1.220609,True,-0.0004,0.4375
2025-08-18,INOXGREEN,-0.007638,-1.188261,False,-0.0004,0.4375
2025-08-18,IOB,-0.112241,0.984047,False,-0.0004,0.4375
2025-08-18,IRB,-0.165954,-0.423423,False,-0.0004,0.4375
2025-08-18,IRCON,-0.002551,0.088031,False,-0.0004,0.4375
2025-08-18,IRCTC,-0.088767,-0.664294,False,-0.0004,0.4375
2025-08-18,IRFC,-0.008549,-0.689056,False,-0.0004,0.4375
2025-08-18,ITC,0.030362,-1.216653,False,-0.0004,0.4375
2025-08-18,JINDALSTEL,0.034047,-0.134359,False,-0.0004,0.4375
2025-08-18,JKCEMENT,0.041525,-1.931841,False,-0.0004,0.4375
2025-08-18,JKLAKSHMI,-0.010466,-0.57986,False,-0.0004,0.4375
2025-08-18,JSWENERGY,0.133933,-1.220414,True,-0.0004,0.4375
2025-08-18,JSWINFRA,-0.054767,-1.176844,False,-0.0004,0.4375
2025-08-18,JSWSTEEL,0.167035,-1.522803,True,-0.0004,0.4375
2025-08-18,JUBLFOOD,0.076835,0.48672,True,-0.0004,0.4375
2025-08-18,JUSTDIAL,0.03161,-0.276268,False,-0.0004,0.4375
2025-08-18,KANSAINER,-0.065091,-1.091371,False,-0.0004,0.4375
2025-08-18,KARURVYSYA,0.032833,-0.310132,False,-0.0004,0.4375
2025-08-18,KEI,0.019294,0.067457,False,-0.0004,0.4375
2025-08-18,KNRCON,-0.006194,0.033928,False,-0.0004,0.4375
2025-08-18,KPITTECH,0.038744,-0.338895,False,-0.0004,0.4375
2025-08-18,LICI,0.120689,-0.172719,True,-0.0004,0.4375
2025-08-18,LT,-0.0214,-0.646989,False,-0.0004,0.4375
2025-08-18,LTIM,-0.147316,1.400349,False,-0.0004,0.4375
2025-08-18,LTTS,0.060273,1.978289,True,-0.0004,0.4375
2025-08-18,M&M,0.064246,-0.186139,True,-0.0004,0.4375
2025-08-18,M&MFIN,0.013045,-0.466738,False,-0.0004,0.4375
2025-08-18,MANYAVAR,-0.089123,0.346103,False,-0.0004,0.4375
2025-08-18,MARICO,-0.056004,-0.280112,False,-0.0004,0.4375
2025-08-18,MARUTI,-0.105538,0.557646,False,-0.0004,0.4375
2025-08-18,MAZDOCK,0.060591,-0.081781,True,-0.0004,0.4375
2025-08-18,METROPOLIS,0.065644,0.006173,True,-0.0004,0.4375
2025-08-18,MINDACORP,-0.120164,-0.109275,False,-0.0004,0.4375
2025-08-18,MOIL,-0.023625,-0.009387,False,-0.0004,0.4375
2025-08-18,MOTHERSON,0.028693,0.020598,False,-0.0004,0.4375
2025-08-18,MPHASIS,-0.16619,2.462906,False,-0.0004,0.4375
2025-08-18,NATIONALUM,0.035696,0.09504,False,-0.0004,0.4375
2025-08-18,NAUKRI,-0.035727,0.928438,False,-0.0004,0.4375
2025-08-18,NESTLEIND,-0.122419,-0.041578,False,-0.0004,0.4375
2025-08-18,NHPC,0.004381,-1.904614,False,-0.0004,0.4375
2025-08-18,NMDC,-0.046566,0.266871,False,-0.0004,0.4375
2025-08-18,NTPC,-0.098865,-0.180012,False,-0.0004,0.4375
2025-08-18,NYKAA,-0.046875,1.073206,False,-0.0004,0.4375
2025-08-18,ONGC,0.07097,-0.540825,True,-0.0004,0.4375
2025-08-18,ORIENTCEM,-0.121427,-0.40152,False,-0.0004,0.4375
2025-08-18,PAGEIND,0.02124,1.378189,False,-0.0004,0.4375
2025-08-18,PARAGMILK,0.032687,0.245181,False,-0.0004,0.4375
2025-08-18,PAYTM,0.107046,1.661728,True,-0.0004,0.4375
2025-08-18,PERSISTENT,0.004604,0.953389,False,-0.0004,0.4375
2025-08-18,PIDILITIND,-0.041305,0.032174,False,-0.0004,0.4375
2025-08-18,PNB,0.005541,-0.79118,False,-0.0004,0.4375
2025-08-18,PNCINFRA,0.046407,-0.828289,False,-0.0004,0.4375
2025-08-18,POLICYBZR,0.029177,0.301589,False,-0.0004,0.4375
2025-08-18,POLYCAB,0.040064,-0.541048,False,-0.0004,0.4375
2025-08-18,PRESTIGE,0.078319,0.126847,True,-0.0004,0.4375
2025-08-18,PRSMJOHNSN,-0.023541,0.266924,False,-0.0004,0.4375
2025-08-18,RAMCOCEM,-0.069331,-0.889373,False,-0.0004,0.4375
2025-08-18,RAYMOND,-0.052138,0.332178,False,-0.0004,0.4375
2025-08-18,RBLBANK,-0.026739,-0.524426,False,-0.0004,0.4375
2025-08-18,RVNL,0.079681,-0.474043,True,-0.0004,0.4375
2025-08-18,SAIL,0.06735,-0.233475,True,-0.0004,0.4375
2025-08-18,SANGHIIND,0.151307,-0.799909,True,-0.0004,0.4375
2025-08-18,SBILIFE,0.111482,-0.727448,True,-0.0004,0.4375
2025-08-18,SBIN,-0.061941,-1.318586,False,-0.0004,0.4375
2025-08-18,SJVN,0.012797,2.330047,False,-0.0004,0.4375
2025-08-18,SOUTHBANK,-0.028361,-0.302243,False,-0.0004,0.4375
2025-08-18,SRF,-0.012976,-0.614806,False,-0.0004,0.4375
2025-08-18,SUBROS,-0.009989,0.080918,False,-0.0004,0.4375
2025-08-18,TATACHEM,0.065126,-0.183315,True,-0.0004,0.4375
2025-08-18,TATACONSUM,0.070568,0.03354,True,-0.0004,0.4375
