,0
2021-05-21,1.0
2021-05-24,1.0
2021-05-25,0.9682539682539683
2021-05-26,0.9682539682539683
2021-05-27,0.9438407271740606
2021-05-28,0.9202447089947091
2021-05-31,1.1685647098345513
2021-06-01,1.148063574574296
2021-06-02,1.13849637811951
2021-06-03,1.13849637811951
2021-06-04,1.13849637811951
2021-06-07,1.0300681516319377
2021-06-08,0.9975038277906635
2021-06-09,0.9266814839470965
2021-06-10,0.9193268689951354
2021-06-11,0.9043784646212306
2021-06-14,0.8972008577591574
2021-06-15,0.8972008577591574
2021-06-16,0.6978836753342064
2021-06-17,0.692209824315229
2021-06-18,0.615297621613537
2021-06-21,0.615297621613537
2021-06-22,0.615297621613537
2021-06-23,0.5713477914982843
2021-06-24,0.5713477914982843
2021-06-25,0.5478491354633956
2021-06-28,0.5197543080037343
2021-06-29,0.4743789319081702
2021-06-30,0.46189527580532364
2021-07-01,0.46189527580532364
2021-07-02,0.4545636047607947
2021-07-05,0.4783248841005635
2021-07-06,0.39665965998583314
2021-07-07,0.3605410568001312
2021-07-08,0.3605410568001312
2021-07-09,0.3605410568001312
2021-07-12,0.3438493412075325
2021-07-13,0.3438493412075325
2021-07-14,0.3438493412075325
2021-07-15,0.3270762026120431
2021-07-16,0.33252747265557714
2021-07-19,0.33252747265557714
2021-07-20,0.33252747265557714
2021-07-22,0.3192675695647818
2021-07-23,0.30862531724595577
2021-07-26,0.2935704237217628
2021-07-27,0.2653840260899404
2021-07-28,0.262993179008049
2021-07-29,0.262993179008049
2021-07-30,0.25046969429338
2021-08-02,0.2204989616428901
2021-08-03,0.21870628715798854
2021-08-04,0.2168837347650053
2021-08-05,0.19885417226116645
2021-08-06,0.180655927186609
2021-08-09,0.16826069203914068
2021-08-10,0.16826069203914068
2021-08-11,0.14193100967375663
2021-08-12,0.14074825125980867
2021-08-13,0.14074825125980867
2021-08-16,0.1396312016466356
2021-08-17,0.15643866110410098
2021-08-18,0.15643866110410098
2021-08-20,0.12515092888328078
2021-08-23,0.12515092888328078
2021-08-24,0.12515092888328078
2021-08-25,0.1102520087781283
2021-08-26,0.1092587474377848
2021-08-27,0.10426868986709686
2021-08-30,0.09483788356814196
2021-08-31,0.09569227891560271
2021-09-01,0.0938695688410198
2021-09-02,0.09234323438832027
2021-09-03,0.07492317368869209
2021-09-06,0.07492317368869209
2021-09-07,0.07311028233927541
2021-09-08,0.07129738509427712
2021-09-09,0.07007862637471683
2021-09-13,0.06891064926847155
2021-09-14,0.06781682943881329
2021-09-15,0.06340597874360591
2021-09-16,0.06340597874360591
2021-09-17,0.05900754598391433
2021-09-20,0.05900754598391433
2021-09-21,0.05619766284182316
2021-09-22,0.05527132774003487
2021-09-23,0.05298904997926748
2021-09-24,0.052568501963559014
2021-09-27,0.04972696131688015
2021-09-28,0.049312569972572814
2021-09-29,0.04846962005851174
2021-09-30,0.04808494053423784
2021-10-01,0.04808494053423784
2021-10-04,0.047694006058349725
2021-10-05,0.041386089128051855
2021-10-06,0.0410496168587181
2021-10-07,0.03792202700281577
2021-10-08,0.03792202700281577
2021-10-11,0.03611621619315788
2021-10-12,0.03357998849098186
2021-10-13,0.028889450416051055
2021-10-14,0.02953001472682824
2021-10-18,0.028592553941849567
2021-10-19,0.02835428265900082
2021-10-20,0.02835428265900082
2021-10-21,0.028141959190223536
2021-10-22,0.028141959190223536
2021-10-25,0.02321110309279121
2021-10-26,0.02321110309279121
2021-10-27,0.0234358953074286
2021-10-28,0.023245359573221862
2021-10-29,0.023245359573221862
2021-11-01,0.023245359573221862
2021-11-02,0.02250741165026244
2021-11-03,0.020165424221789185
2021-11-04,0.020165424221789185
2021-11-08,0.020725574894616666
2021-11-09,0.0177647784811
2021-11-10,0.017612942767586324
2021-11-11,0.017612942767586324
2021-11-12,0.01866849195087024
2021-11-15,0.01866849195087024
2021-11-16,0.014502688480197878
2021-11-17,0.014502688480197878
2021-11-18,0.013121480053512366
2021-11-22,0.013522013632679408
2021-11-23,0.012111180231979796
2021-11-24,0.011822818797885038
2021-11-25,0.011822818797885038
2021-11-26,0.011630577841821867
2021-11-29,0.011441462754962974
2021-11-30,0.012213307464623175
2021-12-01,0.01122945769663964
2021-12-02,0.010908616048164222
2021-12-03,0.010908616048164222
2021-12-06,0.010285266559697696
2021-12-07,0.010285266559697696
2021-12-08,0.0099633607904841
2021-12-09,0.009409840746568315
2021-12-10,0.009409840746568315
2021-12-13,0.00868801749271831
2021-12-14,0.00861906497293483
2021-12-15,0.009133939818201516
2021-12-16,0.008258736525516702
2021-12-17,0.008258736525516702
2021-12-20,0.007616018838195789
2021-12-21,0.007438343544915407
2021-12-22,0.007193350483713828
2021-12-23,0.006824460715318247
2021-12-24,0.006713493874418764
2021-12-27,0.006604331372395694
2021-12-28,0.005713270790405799
2021-12-29,0.00628459786944638
2021-12-30,0.006433014621299352
2021-12-31,0.006223810893777422
2022-01-03,0.006005431564171196
2022-01-04,0.0059036664218353905
2022-01-05,0.005309033354053415
2022-01-06,0.005263657000599968
2022-01-07,0.0046273783944084865
2022-01-10,0.0043335765915889
2022-01-11,0.0042613503150624185
2022-01-12,0.0042613503150624185
2022-01-13,0.0042613503150624185
2022-01-14,0.0042613503150624185
2022-01-17,0.00391976588504551
2022-01-18,0.0038544364536280853
2022-01-19,0.003724264696202926
2022-01-20,0.003664428465117978
2022-01-21,0.0036062629339256294
2022-01-24,0.003518305301390858
2022-01-25,0.0034031397136120747
2022-01-27,0.003233290147959801
2022-01-28,0.0031819680821191694
2022-01-31,0.003282982941868984
2022-02-01,0.0032295693305131796
2022-02-02,0.0032295693305131796
2022-02-03,0.0031777460869825873
2022-02-04,0.003016821765911033
2022-02-07,0.003016821765911033
2022-02-08,0.003016821765911033
2022-02-09,0.0021122630567050917
2022-02-10,0.002094660864565883
2022-02-11,0.0019422039375281803
2022-02-14,0.0019102286288005823
2022-02-15,0.0017691189437670839
2022-02-16,0.0017561583654244679
2022-02-17,0.0016864695413996874
